1,ADMIN,ADMIN2,ADMIN3,admin@flightset.com,,1,2016-02-15 01:34:09,2016-02-15 01:34:09
2,WALKIN,WALKIN2,WALKIN3,walkin@filghtset.com,,3,2016-02-15 01:34:09,2016-02-15 01:34:09
3,ALEX,MAGANA,GATOBU,rsma@gmail.com,1234567890,2,2016-10-08 18:42:19.485708,2016-10-08 18:42:19.485708
4,R,S,M,rsm@gmail.com,1234567890,2,2016-10-08 18:53:03.218505,2016-10-08 18:53:03.218505
5,JANE,OLUWAFELI,KIMANI,joki@gmail.com,1234567890,2,2016-10-08 18:58:10.707691,2016-10-08 18:58:10.707691
6,A,B,C,abc@gmail.com,1234567890,2,2016-10-09 01:39:24.440209,2016-10-09 01:39:24.440209
7,D,S,E,dse@gmail.com,1234567890,2,2016-10-09 01:42:33.104781,2016-10-09 01:42:33.104781
8,Q,W,E,qwe@yahoo.com,1234567890,2,2016-10-09 01:46:31.107932,2016-10-09 01:46:31.107932
9,ALEX,MAGANA,GATOBU,rsmb@gmail.com,1234567890,2,2016-10-10 13:01:45.845033,2016-10-10 13:01:45.845033
10,ALEX,MAGANA,GATOBU,gatobumalex@gmail.com,1234567890,2,2016-10-10 13:43:17.637877,2016-10-10 13:43:17.637877
11,ALEX,MAGANA,GATOBU,alexepicmagana@yahoo.com,1234567890,2,2016-10-10 13:48:20.528971,2016-10-10 13:48:20.528971
